Company Name,Ticker,Market Cap (mil),Avg Volume,Industry,Sector
"Mercury General","MCY","4089.07","245968","Insurance - Property and Casualty","Finance"
"Pediatrix Medical Group, Inc.","MD","1353.48","790364","Medical Services","Medical"
"Spectral AI, Inc.","MDAI","24.99","290170","Medical - Instruments","Medical"
"MongoDB","MDB","21425.1","1147291","Internet - Software","Computer and Technology"
"MDB Capital Holdings, LLC","MDBH","257.74","5418","Financial - Miscellaneous Services","Finance"
"Melco International Development","MDEVF","1040.6","4127","Gaming","Consumer Discretionary"
"Madrigal Pharmaceuticals","MDGL","7648.91","576121","Medical - Drugs","Medical"
"Mediaco Holding","MDIA","59.31","95932","Semiconductors - Radio Frequency","Computer and Technology"
"MDJM","MDJH","2.95","10154560","Real Estate - Operations","Finance"
"Mondelez International","MDLZ","88522.25","6273677","Food - Miscellaneous","Consumer Staples"
"Medicenna Therapeutics","MDNAF","122.34","81546","Medical - Biomedical and Genetics","Medical"
"Medalist Diversified REIT","MDRR","13.47","3964","REIT and Equity Trust - Other","Finance"
"VERADIGM INC","MDRX","1033.34","299795","Technology Services","Business Services"
"Medtronic","MDT","112498.03","5345224","Medical - Products","Medical"
"MDU Resources Group","MDU","3655.72","3337122","Utility - Gas Distribution","Utilities"
"Modiv Industrial, Inc.","MDV","161.67","35981","REIT and Equity Trust - Residential","Finance"
"MediWound","MDWD","186.44","41137","Medical - Drugs","Medical"
"MDWerks","MDWK","20.14","1762","Internet - Commerce","Retail-Wholesale"
"MiMedx Group","MDXG","1106.51","627004","Medical - Biomedical and Genetics","Medical"
"MedX Health Corp.","MDXHF","1.09","306","Medical Services","Medical"
"23andMe","ME","109.82","271159","Medical - Biomedical and Genetics","Medical"
"Mayville Engineering","MEC","354.05","157676","Engineering - R and D Services","Construction"
"MEDIFAST","MED","209.57","181593","Food - Miscellaneous","Consumer Staples"
"Medpace","MEDP","11276.09","409807","Medical Services","Medical"
"Montrose Environmental Group","MEG","703.51","620958","Waste Removal Services","Business Services"
"Magic Empire Global Limited","MEGL","10.59","389151","Financial - Miscellaneous Services","Finance"
"Methode Electronics","MEI","352.8","365322","Electronics - Connectors","Computer and Technology"
"Methes Energies International","MEIL","3.03","51653","Biofuels","Oils-Energy"
"MEI Pharma","MEIP","20.25","102690","Medical - Drugs","Medical"
"MercadoLibre","MELI","94905.99","457105","Internet - Commerce","Retail-Wholesale"
"Methanex","MEOH","2843.08","301630","Chemical - Diversified ","Basic Materials"
"Mercer International","MERC","440.68","416594","Paper and Related Products","Basic Materials"
"Mesa Air Group","MESA","38.01","333374","Transportation - Airline","Transportation"
"Mesoblast Limited","MESO","1048.16","145640","Medical - Biomedical and Genetics","Medical"
"MetLife","MET","56099.9","3184687","Insurance - Multi line","Finance"
"Meta Platforms","META","1487782.13","12606646","Internet - Software","Computer and Technology"
"Ramaco Resources","METC","519.06","484246","Coal","Oils-Energy"
"Ramaco Resources, Inc.","METCB","563.29","13692","Coal","Oils-Energy"
