Ticker,Weight,Expected Return,Volatility,Sharpe Ratio,Max Drawdown,Start Price,End Price,Real Return
EXAS,0.010000000000036638,-0.3968002614410382,0.4769256958321221,-0.832721775545159,-0.5322882228938938,128.77000427246094,77.83000183105469,-0.39558904054723554
ASML,0.07499999999988494,0.6040842831262796,0.3789112952718684,1.593349524979722,-0.19834040357980492,482.2491760253906,772.1190795898438,0.6010791059375316
VUZI,0.01000000000002921,0.02249598703101663,1.1245629330429647,0.019696395448215817,-0.7268563799533352,8.479999542236328,8.670000076293945,0.022405724565347063
ADBE,0.010000000000031756,0.1691014088131122,0.29236765574794676,0.5772022133775322,-0.20134517275457708,485.3399963378906,567.0599975585938,0.16837681179650854
BEAM,0.010000000000005928,-0.04165806631978053,0.818811210812609,-0.05129902541697179,-0.4908683118594821,83.13999938964844,79.69000244140625,-0.04149623494791288
ILMN,0.010000000000039255,0.03461871071222178,0.3382335062825445,0.10132810404713463,-0.33831261248821703,357.7431945800781,370.0778198242188,0.034478993398097124
TSM,0.01000000000003947,0.0946451439010969,0.32932446504496554,0.2863406855996092,-0.22443637377308392,104.4289779663086,114.27165985107422,0.09425240078420694
JNJ,0.010000000000053086,0.12115577384700438,0.14512072697399636,0.8324766942027162,-0.12027651804594958,141.05670166015625,158.0747833251953,0.12064709769012061
NOK,0.010000000000057217,0.6019644089054583,0.612722357223153,0.9818774376645644,-0.41679392897684936,3.5459344387054443,5.669848442077637,0.598971594113171
TXG,0.010000000000041358,0.06000611907978626,0.5921820556648049,0.10074599139518486,-0.3367593790621993,140.55999755859375,148.9600067138672,0.059761022347569526
AMZN,0.010000000000030127,0.0465419383022625,0.24041286225625635,0.19215189683830397,-0.14569827114952347,159.3314971923828,166.7169952392578,0.04635303236972321
IRTC,0.03153832384251928,-0.48510592576194955,1.0238753013915038,-0.4741320314081119,-0.8438873531200831,227.97000122070312,117.69000244140624,-0.4837478536157581
RMD,0.010000000000041047,0.2373680994680729,0.24963525826793986,0.9494730444618295,-0.1910615441533091,205.11669921875,253.59043884277344,0.23632273631864487
BDX,0.0100000000000528,0.016924364668753134,0.18383629436828833,0.09017922130297203,-0.10289859056436519,231.6322021484375,235.5367431640625,0.016856641604274136
ZS,0.010000000000026179,0.6419139112828027,0.45044213439746755,1.4243067233166293,-0.28947367889155207,196.08999633789065,321.3299865722656,0.638686279633403
MDXG,0.010000000000060799,-0.3417044527168377,0.8560964420786685,-0.3995468112000434,-0.6512950089999626,9.15999984741211,6.039999961853027,-0.3406113468921669
SAGE,0.010000000000056413,-0.505695368804572,0.5100017012913037,-0.9922349637632427,-0.6169904862020007,85.81999969482422,42.540000915527344,-0.504311336905156
ACAD,0.010000000000034573,-0.5594736754167141,0.7400125959709148,-0.756500401831152,-0.7130387479302371,52.810001373291016,23.34000015258789,-0.5580382589349403
GOOG,0.07499999999986488,0.6777402549406883,0.23706840450990566,2.8573782556375504,-0.08623369943592135,86.20030975341797,144.3250732421875,0.674298777522256
FFIV,0.010000000000032193,0.3934169578338438,0.26703971250730163,1.4719563743827022,-0.1875551346408299,175.85000610351562,244.7100067138672,0.39158372601827796
ABBV,0.07499999999988541,0.3477147563444587,0.20091552569780818,1.7289286347712611,-0.11905933292349094,89.77262878417969,120.84471130371094,0.3461197799412885
FTNT,0.0749999999998706,1.4779920291183561,0.35387271498194917,4.175642302341204,-0.16842732126651122,29.11199951171875,71.87999725341797,1.4690848605051459
ZBH,0.010000000000053482,-0.16576007095015233,0.24487530737183139,-0.6783298141748729,-0.33232420712847377,144.47471618652344,120.61328887939452,-0.16515988359044587
IBM,0.010000000000050047,0.18558851040962687,0.2285834031357013,0.8103928678682701,-0.1792242865028711,98.82478332519533,117.0864028930664,0.18478785334422576
NET,0.010000000000009425,0.7669579871570398,0.6056309282244203,1.2658069471603506,-0.3947065592635213,74.58999633789062,131.5,0.7629709941841079
